Kitap Adı,Kitap Açıklaması,Kategori
O Çılgın İnsanlar,"Gazeteci ve Yazar Zeynep Oral, O Büyülü İnsanlar, O Güzel İnsanlar isimli kitaplarında kaleme aldığı portrelere O Çılgın İnsanlar’la devam ediyor.O Çılgın İnsanlar’da; Ahmet Say, Ali Poyrazoğlu, Atillâ İlhan, Ayla Erduran, Jacques Brel, Birsel Lemke, Bülent Ecevit, Deniz Türkali, Füruzan, Gilbert Becaud, Hümeyra, Kaptan Coustau, Mahmud Derviş, Marlene Dietrich, Moris Gabbay, Muazzez İlmiye Çığ, Müjdat Gezen, Nazlı Eray, Nermin Abadan Unat, Sunay Akın, Tarık Akan, Türkan Şoray ve Vedat Günyol’un portreleri bulunuyor.Kültür yaşamımıza damga vurmuş, birbirinden değerli isimlerin yer aldığı portre",Biyografi-Otobiyografi
Müstecabizade İsmet Hayatı ve Eserleri,"Elinizdeki bu kitaba konu olan ve genellikle ara nesil sanatçıları arasında gösterilen Müstecabizade İsmet, edebi gerçekliği, içerik ile biçimin uyumlu bütünlüğünde aramaya çalışmış bir edebiyat ve kültür adamıdır. Aynı zamanda bilimsel nitelikli eserlere de imza atan Müstecabizade, 1890'lı yıllardan itibaren gelişen Tyürk edebiyatında gerek şiirleri, gerek bilimsel nitelikli kitap ve makaleleri gerekse dergi yöneticiliği ile Türk kültür ve edebiyatına yön veren isimler arasına girmeyi başarmıştır. Bu kitabın amacı Müstecabizade İsmet'in Balıkesir, İstanbul ve İzmir'deki edebi ve kültürel faal",Biyografi-Otobiyografi
Prosper’in İblisi,"Edebiyat tarihindeki popüler temalara yaptığı göndermelerle dolu eserleriyle tanınan K. J. Parker, bu sefer de meraklı okurların keşfederken keyif alacağı örtük atıflara sahip, hem karanlık hem eğlenceli bir maceraya davet ediyor bizi. Belirli bir ücret karşılığında iblisleri kovmak için Papa tarafından yetkilendirilen isimsiz anlatıcımız insanların içindeki iblisleri görüp onlarla iletişime geçebilmek gibi bir yeteneğe sahiptir. Diğer yandan insanlar onun çok da umurunda değildir ve iblisleri kovarken insanlara verdiği zarar vicdanını pek sızlatmaz. Çağının en iyi ressamı ve heykeltıraşı, en",Bilimkurgu-Fantazya
Yol Ayrımı,"Özcan Yılmaz’ın hikâyesi, ev hanımlığından çıkıp kendi yolunu çizen, hayallerini gerçekleştiren bir kadının cesaret ve azim dolu yolculuğudur. Bu kitap, yalnızca bir kariyerin değil, aynı zamanda kadınların trafikte ve hayatta karşılaştıkları zorlukların cinsiyet ayrımcılığının ve toplumdaki yerlerini, yeniden kazanma çabalarının samimi bir anlatımıdır. İçinde hem yolların hem de kadınların hikâyeleri var; kimi zaman hüzünlü, kimi zaman umut dolu… Kitabın her sayfasında bir kadının başarma azmini, bir annenin mücadelesini ve bir kız çocuğunun babasına olan sevgisini bulacaksınız.",Anı
Aşkın ve Savaşın Gündüz ve Geceleri,"“Kimse gidecek kadar kahraman, kalacak kadar vatansever değil.”Bir yanda işkenceler, kayıplar, ölümler, katliamlar, sürgünler... Diğer yanda umut, mücadele ve direnç... Sevincin ve coşkunun, acı ve umutsuzluğun yanıbaşında filizlenişinin tanıklığı. Çaresizlikten mücadele, baskılardan direniş yaratan bir halkın fotoğrafı.Aşkın ve Savaşın Gündüz ve Geceleri sahne sahne ilerleyen bir günce niteliğinde. Röportajlardan anılara, tarihsel kısa öykülerden aforizmalara yayılan, Latin Amerika halkının geçmişine ayna tutan, acıları ve umudu yan yana ve keskin bir dille anlatan alışılmadık bir yaşam öyküs",Deneme
Buda ve Yaşamı,"Buda, lüks sarayların ve tahtların ötesinde, içsel aydınlanmanın peşinden koşarak ""Buda"" olmaya adım atmıştı. Bu kitap, Buda'nın sıra dışı hikayesini ve Budizm'in temel öğretilerini anlatıyor. Aydınlanma anı, ağaç altındaki sessizliğinde, düşüncelerin en saf ve derin halinde yakalanır ve bu anlayış, milyonların kalplerinde kutsal bir iz bırakır. Buda’nın öğretileri, dünya hayatının geçiciliğine vurgu yaparak insanlığın içsel sıkıntılarına çare sunar. Budizm, reenkarnasyonun perdesini aralayarak Nirvana'ya ulaşma yolunda adımlar atmayı öğretir. Nirvana, sonsuz huzurun ve aydınlanmanın doruğunu",Biyografi-Otobiyografi
Kuşlar Meclisi / Bayan Peregrine’in Tuhaf Çocukları 5,"Kuşlar Meclisi’nde, Bayan Peregrine’in vesayeti altındaki tuhaf çocuklar, gizemli bir kehanetin peşine düşüyorlar. Jacob Portman’ın dedesinin arkadaşı olan H, son nefesinde, Jacob’tan Noor’u kurtarmasını ve onu, sadece V olarak bilinen hayattaki son gölge avcısına götürmesini ister. Ancak Noor’un peşinde başkaları da vardır. Çünkü o, dünyanın sonunun geleceğini öngören bir kehanette bahsedilen kızdır. Pek az şey ifade eden birkaç ipucunun peşinde bu kehanetin gizemini çözmeye çalışan Jacob ve arkadaşları, bir yandan da V'nin nerede olduğunu bulmak için canla başla çalışmaya başlarlar. Ne var k",Bilimkurgu-Fantazya
Brisingr - Ateş Kılıcı / Miras Üçlemesi 3,"Yeminler ediliyor... Sadakatler sınanıyor... Güçler çarpışıyor...Yanan Ovalar'da, Kral Galbatorix'in askerleriyle girişilen büyük savaşta Eragon ve ejderhası Saphira, ölümden kılpayı kurtulurlar. Ancak, bu iki savaşçıyı şimdi başka sürprizler de beklemektedir.Eragon belki de yerine getiremeyeceği sözler verir: Önce kuzeni Roran'a, nişanlısı Katrina'yı acımasız Kral Galbatorix'in elinden kurtaracağına söz verir. Ne var ki Eragon'un sorumlulukları bunlarla sınırlı değildir, dostlarına sadakatini göstermek zorundadır. Bunun için asilere yardım etmeye karar verir.İmparatorluğa karşı savaşan asi Va",Bilimkurgu-Fantazya
Elli Yaşa Buruk Günce ‘49’,"""Elli yaşa giderken “Merdiven Günce” diyeceğim, beş ciltlik notlar tutuyorum, utanmadan bir de yayınlıyorum. Yaşadığımı belgelemek için ilkin kendi tanıklığına gereksinim duyar insan. Birinin belleğine bırakılmayacak kadar ciddi iştir bir yanıyla yaşamak, ötesi, göz açıp kapamak kadar sırada. Tercih yapmam gerekir mi ki?"" Yazar Enver Aysever'in beş ciltlik günce/deneme türü kitap serisinin dördüncü kitabı Elli Yaşa Buruk Günce '49'. Bu kitapta, serinin diğer kitaplarından farklı olarak salgın dönemine tanıklık ediyoruz. Aysever salgında neler olduğunu, yazarın yeni bir yapıt ortaya çıkarmadan",Deneme
Charles Bukowski’yi Sevmek ve Nefret Etmek,"Amerikan Yeraltı Edebiyatından birçok simanın şahit olduğu büyük bir aşkın öyküsü…Genç, güzel şair ve heykeltıraş Linda King, 1970'lerde Los Angeles'ta yaşıyordu. Los Angeles Free Press için Pis Moruğun Notları’nı yazan yeraltı yazarı / şairi Charles Bukowski ile tanıştı. Büstünü yapmayı teklif etti. Sivilceleriyle yaralanmış yüzünü yontarken Bukowski mektupları, yazıları ve zekası ile onu baştan çıkarttı. Âşık oldular. Beş yıl süren sevgi ve nefret dolu, tutkulu ve esprili bir ilişkileri oldu.Linda King bu birlikteliğin ve ayrılışlarının öyküsünü Bukowski’nin kendisi için yazdığı hiç yayımlan",Anı
"Harry Potter Film Dehlizi Kitap 2: Diagon Yolu, Hogwarts Ekspresi ve Sihir Bakanlığı","Ollivanders Asa Dükkânı’ndan Peron Dokuz Üç Çeyrek’e, Knockturn Yolu’ndan Sihir Bakanlığı’na kadar pek çok büyüleyici mekânı yeniden keşfetmeye hazır mısınız? Film Dehlizi serisinin göz alıcı çizimler, sahne arkası fotoğraflar ve çarpıcı açıklamalarla dolu bu ikinci kitabında, Harry Potter hayranlarını Diagon Yolu, Hogwarts Ekspresi ve Sihir Bakanlığı’na dair sayfalardan ekranlara uzanan muhteşem bilgiler bekliyor.",Bilimkurgu-Fantazya
Pessoa,"Portekiz edebiyatının ve Avrupa modernizminin önde gelen isimlerinden Fernando Pessoa, şiir, tiyatro, kurgu, kurgudışı birçok eser kaleme almış ve asıl üne ölümünden sonra kavuşmuştur. Eline geçirdiği her türden kâğıda karaladığı yazılarını istiflediği meşhur sandığı, 25.000’den fazla belgeyi barındırır. Farklı heteronimlerle –yaniyazarın kendisinden farklı bir edebi tarzda yazan takma kimliklerle–kaleme aldığı bu belgelerden birine Pessoa, “Evren gibi çoğul ol!” notunu düşmüştür. Pessoa’nın birçok eserinin çevirmeni olan Richard Zenith, bu çoksesli evrenin arkasındaki gizemli yazarın yaşamını",Biyografi-Otobiyografi
Bediüzaman Said Nursi İstanbul Hayatı,"Bediüzzaman Said Nursi'nin idealleri Kur'an'ın asra yönelik mesajı kadar kapsamlıydı, ittihad-ı İslâmkadar geniş ve anlamlıydı. Ömrü, Resulullah'ın hayatından süzülen esaslara dayalıydı. Yaşadığı her an, Sahabenin sa-dâkat ve gayretiyle şekillendi. İdeallerine uzanan yol İstanbul'dan geçtiğinde, tüm İslâm âlemi ve kalbihükmündeki İstanbul hastaydı, bir tabibe muhtaçtı.Eğer onlara, aradıkları reçeteleri yazmasaydı, Bediüzzaman'ın İstanbul sergüzeşti garip, acip, ibretli olaylarla dolu olur muydu? Bediüzzaman, fikirleri ve İstanbul sergüzeşti...",Biyografi-Otobiyografi
