Metin,Normal Metin,Niyet,Tahmin,Doğru
bana vergi hesabı yap olur mu,bana vergi hesabi yap olur mu,ALAN_DISI,SAKA_ISTEGI,False
lütfen gezi rotası çiz,lutfen gezi rotasi ciz,ALAN_DISI,TEKRAR_GOSTER,False
lütfen vergi hesabı yap olur mu,lutfen vergi hesabi yap olur mu,ALAN_DISI,SAKA_ISTEGI,False
tek cümleyle karşımdaki asistan kim lütfen,tek cumleyle karsimdaki asistan kim lutfen,BOT_KIMLIK,BOT_YARATICI,False
tek cümleyle adını ve görevini söyle söyler misin,tek cumleyle adini ve gorevini soyle soyler misin,BOT_KIMLIK,KITAP_ARAMA,False
doğrudan hangi uygulamasın söyler misin,dogrudan hangi uygulamasin soyler misin,BOT_KIMLIK,BOT_YARATICI,False
doğrudan ne tür bir yazılımsın lütfen,dogrudan ne tur bir yazilimsin lutfen,BOT_KIMLIK,SAKA_ISTEGI,False
doğrudan hangi uygulamasın,dogrudan hangi uygulamasin,BOT_KIMLIK,BOT_YARATICI,False
tek cümleyle bir insan mısın yoksa program mı,tek cumleyle bir insan misin yoksa program mi,BOT_KIMLIK,KITAP_ARAMA,False
doğrudan karşımdaki asistan kim lütfen,dogrudan karsimdaki asistan kim lutfen,BOT_KIMLIK,BOT_YARATICI,False
hangi uygulamasın söyler misin,hangi uygulamasin soyler misin,BOT_KIMLIK,KITAP_ADI_SORUSU,False
yaşadığın bir yer var mı söyler misin,yasadigin bir yer var mi soyler misin,BOT_KONUM,BOT_YAS,False
kısaca seni oluşturan kişinin adı ne,kisaca seni olusturan kisinin adi ne,BOT_YARATICI,ALAN_DISI,False
kaç senedir çalışıyorsun lütfen,kac senedir calisiyorsun lutfen,BOT_YAS,BOT_KONUM,False
şu anda kaç senedir çalışıyorsun lütfen,su anda kac senedir calisiyorsun lutfen,BOT_YAS,BOT_KONUM,False
bir yaşa sahip misin söyler misin,bir yasa sahip misin soyler misin,BOT_YAS,NASILSIN,False
merak ettim kaç senedir çalışıyorsun,merak ettim kac senedir calisiyorsun,BOT_YAS,BOT_KONUM,False
kaç senedir çalışıyorsun söyler misin,kac senedir calisiyorsun soyler misin,BOT_YAS,BOT_KONUM,False
kısaca kullanıcıya ne sunuyorsun anlatır mısın,kisaca kullaniciya ne sunuyorsun anlatir misin,BOT_YETENEK,YARDIM,False
doğrudan kullanıcıya ne sunuyorsun,dogrudan kullaniciya ne sunuyorsun,BOT_YETENEK,BOT_YARATICI,False
yardım edebildiğin konular hangileri lütfen,yardim edebildigin konular hangileri lutfen,BOT_YETENEK,YARDIM,False
kullanıcıya ne sunuyorsun,kullaniciya ne sunuyorsun,BOT_YETENEK,YARDIM,False
benden gelen hangi soruları çözersin lütfen,benden gelen hangi sorulari cozersin lutfen,BOT_YETENEK,YARDIM,False
şu sıralar sohbet etmeye devam edelim,su siralar sohbet etmeye devam edelim,GENEL_SOHBET,VEDA,False
uygulaman hiç bilmediği kitap olur mu,uygulaman hic bilmedigi kitap olur mu,HER_KITAP_SORUSU,ALAN_DISI,False
yerel sistemin hiç bilmediği kitap olur mu,yerel sistemin hic bilmedigi kitap olur mu,HER_KITAP_SORUSU,ALAN_DISI,False
bu anlatıda esas kişi hangisi anlatır mısın,bu anlatida esas kisi hangisi anlatir misin,KARAKTER_SORUSU,OZET_SORUSU,False
öykünün içinde esas kişi hangisi,oykunun icinde esas kisi hangisi,KARAKTER_SORUSU,KITAP_ARAMA,False
bu anlatıda kahraman olarak kimi görüyoruz anlatır mısın,bu anlatida kahraman olarak kimi goruyoruz anlatir misin,KARAKTER_SORUSU,OLAY_SORUSU,False
etiket yapısında sınıf adlarını listele,etiket yapisinda sinif adlarini listele,KATEGORI_LISTESI,YEMEK_TARIFI_SORUSU,False
etiket yapısında kaç ayrı etiket bulunuyor,etiket yapisinda kac ayri etiket bulunuyor,KATEGORI_LISTESI,KITAP_SAYISI,False
önceki konuşmamızda hangi başlık üzerinde duruyoruz,onceki konusmamizda hangi baslik uzerinde duruyoruz,KITAP_ADI_SORUSU,TUR_SORUSU,False
önceki konuşmamızda aktif eserin ismi nedir,onceki konusmamizda aktif eserin ismi nedir,KITAP_ADI_SORUSU,YAZAR_SORUSU,False
