tarif_id,tarif_adi,kategori,malzemeler,yapilis
1,Menemen,Kahvaltı,2 yumurta|2 domates|2 yeşil biber|1 yemek kaşığı sıvı yağ|Tuz,Biberleri küçük doğrayıp yağda birkaç dakika çevir.|Rendelenmiş veya doğranmış domatesleri ekleyip suyunu biraz çektir.|Yumurtaları kırıp karıştırarak istediğin kıvama gelene kadar pişir.|Tuzunu ekleyip sıcak servis et.
2,Mercimek Çorbası,Çorba,1 su bardağı kırmızı mercimek|1 soğan|1 havuç|1 yemek kaşığı sıvı yağ|5 su bardağı su|Tuz|Kimyon,Mercimeği yıkayıp süz.|Doğranmış soğan ve havucu yağda kısa süre çevir.|Mercimek ile suyu ekleyip malzemeler yumuşayana kadar pişir.|Blenderdan geçirip tuz ve kimyon ekle.
3,Kısır,Salata,"2 su bardağı ince bulgur|1,5 su bardağı sıcak su|1 yemek kaşığı domates salçası|1 yemek kaşığı biber salçası|4 dal taze soğan|Yarım demet maydanoz|Limon suyu|Zeytinyağı|Tuz",Bulguru sıcak suyla ıslatıp kapağı kapalı şekilde şişmeye bırak.|Salçaları ve zeytinyağını ekleyip iyice karıştır.|Doğranmış taze soğan ve maydanozu ekle.|Limon suyu ve tuzla tatlandırıp dinlendir.
4,Sade Makarna,Ana Yemek,1 paket makarna|Bol su|1 tatlı kaşığı tuz|1 yemek kaşığı tereyağı veya zeytinyağı,Tencerede bol su kaynatıp tuzu ekle.|Makarnayı paket üzerindeki süreye göre haşla.|Süzüp tencereye geri al.|Tereyağı veya zeytinyağıyla karıştırıp servis et.
5,Pirinç Pilavı,Pilav,"1 su bardağı pirinç|1,5 su bardağı sıcak su|1 yemek kaşığı tereyağı|1 yemek kaşığı sıvı yağ|Tuz",Pirinci nişastası gidene kadar yıkayıp süz.|Yağları tencerede ısıtıp pirinci birkaç dakika kavur.|Sıcak su ve tuzu ekleyip kapağı kapat.|Kısık ateşte suyunu çekene kadar pişirip 10 dakika dinlendir.
6,Sebzeli Omlet,Kahvaltı,2 yumurta|1 küçük yeşil biber|1 küçük domates|1 tatlı kaşığı yağ|Tuz|Karabiber,Biber ve domatesi küçük doğra.|Sebzeleri tavada yağla kısa süre pişir.|Yumurtaları tuz ve karabiberle çırpıp tavaya dök.|Altı pişince katlayarak servis et.
7,Pankek,Kahvaltı,1 yumurta|1 su bardağı süt|1 su bardağı un|1 yemek kaşığı şeker|1 çay kaşığı kabartma tozu|Az yağ,"Yumurta ve şekeri çırp.|Sütü, unu ve kabartma tozunu ekleyip pürüzsüz karıştır.|Hafif yağlanmış tavaya küçük kepçelerle dök.|Üzeri göz göz olunca çevirip diğer yüzünü pişir."
8,Kaşarlı Tost,Kahvaltı,4 dilim tost ekmeği|4 dilim kaşar peyniri|1 tatlı kaşığı tereyağı,Kaşar peynirlerini ekmeklerin arasına yerleştir.|Ekmeklerin dış yüzüne çok az tereyağı sür.|Tost makinesinde veya tavada iki yüzü kızarana kadar pişir.|Sıcak servis et.
9,Patates Kızartması,Atıştırmalık,3 patates|Kızartmak için sıvı yağ|Tuz,Patatesleri soyup eşit kalınlıkta doğra.|Soğuk suda yıkayıp iyice kurula.|Kızgın yağda altın rengi olana kadar kızart.|Kâğıt havluya alıp tuzla.
10,Fırında Patates,Ana Yemek,4 patates|2 yemek kaşığı zeytinyağı|Tuz|Karabiber|Kekik|Toz kırmızı biber,Patatesleri elma dilim doğra.|Zeytinyağı ve baharatlarla harmanla.|Yağlı kâğıt serili tepsiye tek sıra diz.|Önceden ısıtılmış 200 derece fırında kızarana kadar pişir.
11,Kuru Fasulye,Ana Yemek,2 su bardağı kuru fasulye|1 soğan|1 yemek kaşığı domates salçası|2 yemek kaşığı sıvı yağ|Sıcak su|Tuz,"Fasulyeyi bir gece önceden ıslat.|Ertesi gün süzüp hafif yumuşayana kadar haşla.|Soğanı yağda kavurup salçayı ekle.|Fasulye ve sıcak suyu ekleyip yumuşayana kadar pişir, tuzunu sonlara doğru ekle."
12,Nohut Yemeği,Ana Yemek,2 su bardağı nohut|1 soğan|1 yemek kaşığı salça|2 yemek kaşığı sıvı yağ|Sıcak su|Tuz,Nohudu bir gece önceden ıslatıp ertesi gün haşla.|Soğanı yağda kavurup salçayı ekle.|Nohut ve üzerini geçecek sıcak suyu ekle.|Kısık ateşte lezzetler birleşene kadar pişir.
13,Bezelye Yemeği,Ana Yemek,500 gram bezelye|1 soğan|1 havuç|1 patates|1 yemek kaşığı salça|2 yemek kaşığı sıvı yağ|Sıcak su|Tuz,"Soğanı doğrayıp yağda kavur.|Salçayı, küp doğranmış havuç ve patatesi ekleyip birkaç dakika çevir.|Bezelyeyi ve sıcak suyu ekle.|Sebzeler yumuşayana kadar pişirip tuzunu ayarla."
14,Tavuk Sote,Ana Yemek,400 gram tavuk göğsü|1 soğan|2 biber|2 domates|2 yemek kaşığı sıvı yağ|Tuz|Karabiber,Tavuğu kuşbaşı doğrayıp yüksek ateşte suyunu salıp çekene kadar pişir.|Soğan ve biberleri ekleyip sotele.|Domatesleri ve baharatları ekle.|Kapağı kapalı şekilde birkaç dakika daha pişir.
15,Bulgur Pilavı,Pilav,1 su bardağı pilavlık bulgur|1 küçük soğan|1 yemek kaşığı salça|2 su bardağı sıcak su|2 yemek kaşığı yağ|Tuz,Soğanı yağda kavurup salçayı ekle.|Bulguru ilave edip kısa süre karıştır.|Sıcak su ve tuzu ekleyip kapağı kapat.|Kısık ateşte suyunu çekene kadar pişir ve dinlendir.
16,Domates Çorbası,Çorba,4 domates|1 yemek kaşığı un|1 yemek kaşığı tereyağı|4 su bardağı su veya et suyu|Tuz|Karabiber,Tereyağında unu kokusu çıkana kadar kavur.|Rendelenmiş domatesleri ekleyip birkaç dakika pişir.|Suyu azar azar ekleyerek karıştır.|Kaynadıktan sonra blenderdan geçirip baharatları ekle.
17,Yayla Çorbası,Çorba,Yarım su bardağı pirinç|1 su bardağı yoğurt|1 yumurta sarısı|1 yemek kaşığı un|5 su bardağı su|Nane|Tuz,"Pirinci suda yumuşayana kadar haşla.|Yoğurt, yumurta sarısı ve unu ayrı kapta çırp.|Tencereden sıcak su alıp terbiyeyi ılıştır, sonra tencereye ekle.|Karıştırarak kaynatıp tuz ve nane ekle."
18,Çoban Salata,Salata,2 domates|1 salatalık|1 yeşil biber|Yarım soğan|Maydanoz|Limon suyu|Zeytinyağı|Tuz,"Domates, salatalık, biber ve soğanı küçük doğra.|Maydanozu ince kıyıp ekle.|Limon suyu, zeytinyağı ve tuzu karıştır.|Sosu salataya ekleyip hemen servis et."
19,Patates Salatası,Salata,4 patates|4 dal taze soğan|Yarım demet maydanoz|Limon suyu|Zeytinyağı|Tuz|Pul biber,"Patatesleri haşlayıp kabuklarını soy ve doğra.|Taze soğan ile maydanozu ekle.|Limon suyu, zeytinyağı ve baharatları karıştır.|Sosu patateslerle nazikçe harmanla."
20,Sütlaç,Tatlı,1 litre süt|Yarım su bardağı pirinç|1 su bardağı şeker|2 su bardağı su|1 yemek kaşığı nişasta,Pirinci suyla yumuşayana kadar pişir.|Sütü ekleyip karıştırarak kaynat.|Şekeri ilave et.|Az suyla açılmış nişastayı ekleyip koyulaşınca kaselere paylaştır.
21,İrmik Helvası,Tatlı,1 su bardağı irmik|1 su bardağı şeker|1 su bardağı süt|1 su bardağı su|100 gram tereyağı,"Süt, su ve şekeri ayrı kapta ısıt.|Tereyağında irmiği rengi dönene kadar kavur.|Sıcak şerbeti dikkatlice ekleyip karıştır.|Kısık ateşte suyunu çekince dinlendir."
22,Revani,Tatlı,"3 yumurta|1 su bardağı şeker|1 su bardağı yoğurt|1 su bardağı irmik|1 su bardağı un|1 paket kabartma tozu|Şerbet için 2 su bardağı şeker ve 2,5 su bardağı su","Şerbeti kaynatıp soğumaya bırak.|Yumurta ve şekeri çırp, yoğurt ile kuru malzemeleri ekle.|Karışımı yağlanmış kaba döküp 180 derecede pişir.|Sıcak tatlının üzerine soğuk şerbeti döküp dinlendir."
23,Muzlu Smoothie,İçecek,1 muz|1 su bardağı süt|1 tatlı kaşığı bal|4 buz küpü,"Muzu dilimle.|Muz, süt, bal ve buzları blendera koy.|Pürüzsüz olana kadar çek.|Bekletmeden servis et."
24,Türk Kahvesi,İçecek,1 fincan su|1 tatlı kaşığı Türk kahvesi|İsteğe göre şeker,"Su, kahve ve şekeri cezveye koy.|Karıştırıp kısık ateşe al.|Köpük yükselince fincana biraz köpük paylaştır.|Kahve tekrar yükselmeden ocaktan alıp fincana dök."
25,Mercimek Köftesi,Atıştırmalık,"1 su bardağı kırmızı mercimek|1,5 su bardağı ince bulgur|1 soğan|1 yemek kaşığı salça|Taze soğan|Maydanoz|Limon|Zeytinyağı|Tuz|Kimyon","Mercimeği yumuşayana kadar pişir.|Sıcakken bulguru ekleyip kapağı kapalı şekilde şişir.|Kavrulmuş soğan ve salçayı karışıma ekle.|Yeşillik, limon ve baharatları ekleyip yoğur ve şekil ver."
26,Gözleme,Kahvaltı,2 yufka|150 gram beyaz peynir|Maydanoz|Az sıvı yağ,Peyniri ezip doğranmış maydanozla karıştır.|İç harcı yufkanın yarısına yayıp kapat.|Tavayı hafif yağlayıp gözlemeyi iki yüzü kızarana kadar pişir.|Dilimleyip sıcak servis et.
27,Yoğurtlu Makarna,Ana Yemek,Yarım paket makarna|1 su bardağı yoğurt|1 diş sarımsak|Tuz|1 yemek kaşığı tereyağı|Pul biber,"Makarnayı tuzlu suda haşlayıp süz.|Yoğurt, ezilmiş sarımsak ve tuzu karıştır.|Makarnayı yoğurtla harmanla.|Tereyağında pul biberi ısıtıp üzerine gezdir."
28,Mücver,Atıştırmalık,2 kabak|2 yumurta|4 yemek kaşığı un|Dereotu|Taze soğan|Tuz|Karabiber|Kızartmak için yağ,"Kabakları rendeleyip suyunu sık.|Yumurta, un, doğranmış yeşillik ve baharatlarla karıştır.|Karışımdan kaşıkla alıp kızgın yağa bırak.|İki yüzünü kızartıp kâğıt havluya al."
29,Sahanda Yumurta,Kahvaltı,2 yumurta|1 tatlı kaşığı tereyağı|Tuz|Karabiber,Tereyağını tavada erit.|Yumurtaları dikkatlice tavaya kır.|Beyazları pişip sarıları istediğin kıvama gelene kadar bekle.|Tuz ve karabiber ekleyip servis et.
30,Tarhana Çorbası,Çorba,3 yemek kaşığı tarhana|1 yemek kaşığı salça|1 yemek kaşığı tereyağı|5 su bardağı su|Tuz|Nane,Tarhanayı bir bardak soğuk suyla aç.|Tereyağında salçayı kısa süre kavur.|Tarhanalı karışımı ve kalan suyu ekleyip sürekli karıştır.|Kaynadıktan sonra tuz ve nane ekleyip birkaç dakika pişir.
