id,locale,partition,split,scenario_id,scenario_name,intent_id,intent_name,utt,annot_utt
1,tr-TR,train,train,16,alarm,48,alarm_set,beni cuma günü sabah dokuzda uyandır,beni [date : cuma] günü [time : sabah dokuzda] uyandır
2,tr-TR,train,train,16,alarm,48,alarm_set,iki saat sonrasına alarm kur,[time : iki saat sonrasına] alarm kur
4,tr-TR,train,train,10,audio,46,audio_volume_mute,olly sessiz ol,olly sessiz ol
5,tr-TR,train,train,10,audio,46,audio_volume_mute,dur,dur
6,tr-TR,train,train,10,audio,46,audio_volume_mute,olly on saniye duraklat,olly [time : on saniye] duraklat
7,tr-TR,train,train,10,audio,46,audio_volume_mute,on saniye duraklat,[time : on saniye] duraklat
9,tr-TR,train,train,8,iot,1,iot_hue_lightchange,burada ışıklandırmayı az daha sıcak yap,burada ışıklandırmayı az daha [color_type : sıcak] yap
10,tr-TR,train,train,8,iot,1,iot_hue_lightchange,lütfen aydınlatmayı okumaya uygun ayarla,lütfen aydınlatmayı [color_type : okumaya uygun] ayarla
12,tr-TR,train,train,8,iot,40,iot_hue_lightoff,yatma vakti,yatma vakti
13,tr-TR,train,train,8,iot,40,iot_hue_lightoff,uyku zamanı olly,uyku zamanı olly
15,tr-TR,train,train,8,iot,40,iot_hue_lightoff,banyodaki ışığı kapat,[house_place : banyodaki] ışığı kapat
16,tr-TR,train,train,8,iot,31,iot_hue_lightdim,olly holdeki ışığı kıs,olly [house_place : holdeki] ışığı kıs
18,tr-TR,train,train,8,iot,40,iot_hue_lightoff,yatak odasındaki ışıkları kapat,[house_place : yatak odasındaki] ışıkları kapat
20,tr-TR,train,train,8,iot,1,iot_hue_lightchange,ışıkları yüzde yirmi aç,ışıkları [change_amount : yüzde yirmi] aç
21,tr-TR,train,train,8,iot,1,iot_hue_lightchange,olly ışıkları yüzde yirmiye ayarla,olly ışıkları [change_amount : yüzde yirmiye] ayarla
22,tr-TR,train,train,8,iot,31,iot_hue_lightdim,olly mutfaktaki ışıkları kıs,olly [house_place : mutfaktaki] ışıkları kıs
23,tr-TR,train,train,8,iot,31,iot_hue_lightdim,mutfaktaki ışıkları kıs,[house_place : mutfaktaki] ışıkları kıs
25,tr-TR,train,train,8,iot,34,iot_cleaning,olly daireyi temizle,olly [house_place : daireyi] temizle
28,tr-TR,train,train,8,iot,34,iot_cleaning,evi süpür,[house_place : evi] süpür
29,tr-TR,train,train,8,iot,34,iot_cleaning,olly evi süpür,olly [house_place : evi] süpür
32,tr-TR,train,train,8,iot,34,iot_cleaning,halılar ı iyice süpür,[house_place : halılar] ı iyice süpür
33,tr-TR,train,train,2,calendar,32,calendar_query,kar ne zaman başlayacak bir kontrol et,kar ne zaman başlayacak bir kontrol et
34,tr-TR,train,train,3,play,45,play_music,yine yeniden tarkan şarkısı dinlemek istiyorum,yine yeniden [artist_name : tarkan] şarkısı dinlemek istiyorum
35,tr-TR,train,train,3,play,45,play_music,o müziği bir kez daha çalmak istiyorum,o [media_type : müziği] bir kez daha çalmak istiyorum
36,tr-TR,train,train,9,general,12,general_quirky,arabamın hazır olup olmadığını kontrol et,arabamın hazır olup olmadığını kontrol et
37,tr-TR,train,train,9,general,12,general_quirky,laptopumun çalışıp çalışmadığını kontrol et,laptopumun çalışıp çalışmadığını kontrol et
38,tr-TR,train,train,9,general,12,general_quirky,benim ekran parlaklığım az mı çalışıyor,benim ekran parlaklığım az mı çalışıyor
39,tr-TR,train,train,9,general,12,general_quirky,konum servisinin açık olmasına ihtiyacım var kontrol edebilir misin,konum servisinin açık olmasına ihtiyacım var kontrol edebilir misin
40,tr-TR,train,train,9,general,12,general_quirky,güç kullanımı durumumu kontrol et,güç kullanımı durumumu kontrol et
43,tr-TR,train,train,9,general,12,general_quirky,yorgun değilim mutluyum aslında,yorgun değilim mutluyum aslında
44,tr-TR,train,train,9,general,12,general_quirky,olly aslında mutluyum yorgun değilim,olly aslında mutluyum yorgun değilim
45,tr-TR,train,train,9,general,5,general_greet,naber,naber
48,tr-TR,train,train,5,datetime,0,datetime_query,bana moskova'da saatin kaç olduğunu söyle,bana [place_name : moskova'da] saatin kaç olduğunu söyle
49,tr-TR,train,train,5,datetime,38,datetime_convert,bana greenwich yerel saati artı beşteki saati söyle,bana [time_zone : greenwich yerel saati artı beşteki] saati söyle
51,tr-TR,train,train,14,takeaway,3,takeaway_query,olly çin yemeği için en yüksek yıldızlı teslimat opsiyonlarını listele,olly [food_type : çin] yemeği için en yüksek yıldızlı [order_type : teslimat] opsiyonlarını listele
52,tr-TR,train,train,14,takeaway,3,takeaway_query,çin yemeği için en yüksek yıldızlı adrese teslimat opsiyonlar,[food_type : çin] yemeği için en yüksek yıldızlı adrese [order_type : teslimat] opsiyonlar
54,tr-TR,train,train,14,takeaway,3,takeaway_query,olly çin yemeği için en yüksek puanlı teslimat opsiyonları,olly [food_type : çin] yemeği için en yüksek puanlı [order_type : teslimat] opsiyonları
55,tr-TR,train,train,14,takeaway,3,takeaway_query,paket servis köri istiyorum tavsiyen var mı,paket servis [food_type : köri] istiyorum tavsiyen var mı
56,tr-TR,train,train,14,takeaway,3,takeaway_query,köri almak istiyorum herhangi bir öneri olly,[food_type : köri] almak istiyorum herhangi bir öneri olly
57,tr-TR,train,train,14,takeaway,3,takeaway_query,benim migros tan pizza paket siparişimi bul,benim [place_name : migros] tan [food_type : pizza] [order_type : paket] siparişimi bul
60,tr-TR,train,train,16,alarm,52,alarm_remove,sabah yedi alarmını durdur,[time : sabah yedi] alarmını durdur
62,tr-TR,train,train,16,alarm,23,alarm_query,lütfen aktif alarmları listele,lütfen aktif alarmları listele
65,tr-TR,train,train,4,news,22,news_query,bugün futbolda neler oluyor,[date : bugün] [news_topic : futbolda] neler oluyor
66,tr-TR,train,train,3,play,45,play_music,lütfen beatlesdan yesterday oynat,lütfen [artist_name : beatlesdan] [song_name : yesterday] oynat
69,tr-TR,train,train,15,music,43,music_likeness,rock müziği seviyorum,[music_genre : rock] müziği seviyorum
70,tr-TR,train,train,15,music,43,music_likeness,favori müzik grubum mfö,favori müzik grubum [artist_name : mfö]
72,tr-TR,train,train,3,play,45,play_music,favorilerden müzik çalmaya başla,favorilerden müzik çalmaya başla
73,tr-TR,train,train,3,play,45,play_music,lütfen benim en iyi müziğimi çal,lütfen benim en iyi müziğimi çal
75,tr-TR,train,train,15,music,57,music_query,şu anki müziğin yazarı kim,şu anki müziğin yazarı kim
76,tr-TR,train,train,15,music,57,music_query,şu anki müzik hangi albümden,şu anki müzik hangi albümden
77,tr-TR,train,train,15,music,43,music_likeness,olly bu şarkıyı cidden çok seviyorum,olly bu şarkıyı cidden çok seviyorum
78,tr-TR,train,train,15,music,43,music_likeness,senin çaldığın şarkı harika,senin çaldığın şarkı harika
79,tr-TR,train,train,15,music,43,music_likeness,bu benim için en iyi şarkılardan biri,bu benim için en iyi şarkılardan biri
81,tr-TR,train,train,8,iot,18,iot_hue_lightup,ışıkları daha parlak yap,ışıkları daha parlak yap
82,tr-TR,train,train,8,iot,18,iot_hue_lightup,lütfen ışıkları maksimuma getir,lütfen ışıkları [change_amount : maksimuma] getir
83,tr-TR,train,train,8,iot,34,iot_cleaning,hey robot süpürgeyi başlat,hey [device_type : robot süpürgeyi] başlat
84,tr-TR,train,train,8,iot,34,iot_cleaning,temizlik robotunu çalıştır,[device_type : temizlik robotunu] çalıştır
87,tr-TR,train,train,14,takeaway,16,takeaway_order,lütfen akşam yemeği için suşi söyle,lütfen [meal_type : akşam yemeği] için [food_type : suşi] söyle
88,tr-TR,train,train,14,takeaway,16,takeaway_order,hey senden burger siparişi vermeni istiyorum,hey senden [food_type : burger] siparişi vermeni istiyorum
91,tr-TR,train,train,14,takeaway,16,takeaway_order,çiya'dan akşam yemeği için paket servisi sipariş edebilir miyim,[business_name : çiya'dan] [meal_type : akşam yemeği] için [order_type : paket servisi] sipariş edebilir miyim
92,tr-TR,train,train,14,takeaway,3,takeaway_query,byron's paket servisini destekliyor mu,[business_name : byron's] [order_type : paket] servisini destekliyor mu
93,tr-TR,train,train,16,alarm,48,alarm_set,on ikiye alarm kur,[time : on ikiye] alarm kur
94,tr-TR,train,train,16,alarm,48,alarm_set,kırk dakika sonraya alarm kur,[time : kırk dakika sonraya] alarm kur
95,tr-TR,train,train,16,alarm,48,alarm_set,hafta içi her gün saat sekize alarm kur,[general_frequency : hafta içi her gün] saat [time : sekize] alarm kur
96,tr-TR,train,train,17,weather,13,weather_query,yağmur yağıyor mu,[weather_descriptor : yağmur yağıyor] mu
97,tr-TR,train,train,17,weather,13,weather_query,yağmur yağacak mı,[weather_descriptor : yağmur yağacak] mı
98,tr-TR,train,train,17,weather,13,weather_query,şu anda kar yağıyor mu,şu anda [weather_descriptor : kar yağıyor] mu
101,tr-TR,train,train,17,weather,13,weather_query,bu hafta hava nasıl,[date : bu hafta] hava nasıl
104,tr-TR,train,train,4,news,22,news_query,b. b. c. haberlerini söyle,[media_type : b. b. c.] haberlerini söyle
105,tr-TR,train,train,4,news,22,news_query,b. b. c. haberlerde haberler nedir,[media_type : b. b. c.] haberlerde haberler nedir
106,tr-TR,train,train,4,news,22,news_query,halk tv'nin en son haberleri ne,[media_type : halk tv'nin] en son haberleri ne
108,tr-TR,train,train,3,play,45,play_music,benim sevdiğim şarkıyı çal,benim sevdiğim şarkıyı çal
110,tr-TR,train,train,3,play,45,play_music,sezen aksu çal,[artist_name : sezen aksu] çal
111,tr-TR,train,train,3,play,45,play_music,biraz mor ve ötesi çal,biraz [artist_name : mor ve ötesi] çal
114,tr-TR,train,train,15,music,28,music_settings,bu oynatma listesini karıştır,bu oynatma listesini [player_setting : karıştır]
116,tr-TR,train,train,15,music,57,music_query,ne çalıyor,ne çalıyor
117,tr-TR,train,train,15,music,57,music_query,bu müzik nedir,bu müzik nedir
118,tr-TR,train,train,15,music,57,music_query,bana bu şarkının sanatçısını söyle,bana bu şarkının sanatçısını söyle
119,tr-TR,train,train,9,general,25,general_joke,beni güldür,beni güldür
120,tr-TR,train,train,9,general,25,general_joke,olly beni güldür,olly beni güldür
121,tr-TR,train,train,9,general,25,general_joke,bana iyi bir fıkra anlat,bana [joke_type : iyi] bir fıkra anlat
123,tr-TR,train,train,9,general,25,general_joke,bana bir espri yap,bana bir espri yap
125,tr-TR,train,train,9,general,25,general_joke,alexa bana bir fıkra anlat,alexa bana bir fıkra anlat
126,tr-TR,train,train,9,general,25,general_joke,beni neşelendir,beni neşelendir
129,tr-TR,train,train,9,general,12,general_quirky,bana bugünü anlat,bana [date : bugünü] anlat
130,tr-TR,train,train,14,takeaway,16,takeaway_order,bir pizza sipariş et,bir [food_type : pizza] sipariş et
131,tr-TR,train,train,14,takeaway,16,takeaway_order,bana tivoli den içli köfte siparişi ver,bana [business_name : tivoli] den [food_type : içli köfte] siparişi ver
133,tr-TR,train,train,14,takeaway,3,takeaway_query,siparişim ne zaman geliyor,siparişim ne zaman geliyor
134,tr-TR,train,train,14,takeaway,3,takeaway_query,paket servisime ne kadar var,[order_type : paket servisime] ne kadar var
135,tr-TR,train,train,14,takeaway,3,takeaway_query,domino's teslimat durumu,[business_name : domino's] [order_type : teslimat] durumu
136,tr-TR,train,train,15,music,57,music_query,ne çalıyor,ne çalıyor
137,tr-TR,train,train,15,music,57,music_query,şarkının adını söyle,şarkının adını söyle
139,tr-TR,train,train,3,play,45,play_music,benim jazz çalma listemi oynat,benim [music_genre : jazz] çalma listemi oynat
140,tr-TR,train,train,3,play,45,play_music,benim jazz playlistimi başlat,benim [music_genre : jazz] playlistimi başlat
141,tr-TR,train,train,3,play,45,play_music,benim favori çalma listemi aç,benim favori çalma listemi aç
142,tr-TR,train,train,15,music,43,music_likeness,bu iyi bir şarkı,bu iyi bir şarkı
143,tr-TR,train,train,15,music,7,music_dislikeness,hoşuma gitmedi,hoşuma gitmedi
144,tr-TR,train,train,15,music,43,music_likeness,bunu severim,bunu severim
145,tr-TR,train,train,15,music,43,music_likeness,jazz severim,[music_genre : jazz] severim
146,tr-TR,train,train,3,play,45,play_music,biraz caz çalabilir misin,biraz [music_genre : caz] çalabilir misin
149,tr-TR,train,train,15,music,43,music_likeness,bu şarkı çok iyiydi,bu şarkı çok iyiydi
152,tr-TR,train,train,10,audio,29,audio_volume_other,ses seviyesini değiştir,ses seviyesini değiştir
153,tr-TR,train,train,15,music,28,music_settings,karışık çalmayı etkinleştir,[player_setting : karışık çalmayı] etkinleştir
154,tr-TR,train,train,15,music,28,music_settings,ayarları kaydet,ayarları kaydet
155,tr-TR,train,train,8,iot,1,iot_hue_lightchange,parlaklığı yüzde elliye ayarla,parlaklığı [change_amount : yüzde elliye] ayarla
156,tr-TR,train,train,8,iot,31,iot_hue_lightdim,parlaklığı düşür,parlaklığı düşür
157,tr-TR,train,train,8,iot,31,iot_hue_lightdim,parlaklığı azalt,parlaklığı azalt
159,tr-TR,train,train,8,iot,31,iot_hue_lightdim,parlaklığı azalt,parlaklığı azalt
160,tr-TR,train,train,8,iot,31,iot_hue_lightdim,ışıkları kıs,ışıkları kıs
161,tr-TR,train,train,8,iot,31,iot_hue_lightdim,ışıkları kıs olly,ışıkları kıs olly
162,tr-TR,train,train,8,iot,56,iot_coffee,bana kahve yap,bana kahve yap
163,tr-TR,train,train,8,iot,56,iot_coffee,olly bana kahve yap,olly bana kahve yap
164,tr-TR,train,train,8,iot,56,iot_coffee,bana kahve lazım,bana kahve lazım
165,tr-TR,train,train,8,iot,56,iot_coffee,şimdi kahve istiyorum,şimdi kahve istiyorum
166,tr-TR,train,train,9,general,5,general_greet,nasılsın,nasılsın
172,tr-TR,train,train,16,alarm,48,alarm_set,alarmı sabah ona kur,alarmı [time : sabah ona] kur
175,tr-TR,train,train,4,news,22,news_query,bana en son teknoloji haberlerini söyle,bana en son [news_topic : teknoloji] haberlerini söyle
176,tr-TR,train,train,4,news,22,news_query,bana son teknoloji haberlerini söyle,bana son [news_topic : teknoloji] haberlerini söyle
179,tr-TR,train,train,17,weather,13,weather_query,bana havayı göster,bana havayı göster
180,tr-TR,train,train,17,weather,13,weather_query,hava şu an nasıl,hava şu an nasıl
181,tr-TR,train,train,17,weather,13,weather_query,şu an yağmur yağıyor mu,şu an [weather_descriptor : yağmur yağıyor] mu
183,tr-TR,train,train,3,play,45,play_music,benim michael jackson playlist imi aç,benim [artist_name : michael jackson] playlist imi aç
184,tr-TR,train,train,3,play,45,play_music,benim çalma listemden tarkan çal,benim çalma listemden [artist_name : tarkan] çal
186,tr-TR,train,train,3,play,45,play_music,benim favori çalma listemdeki son şarkıyı çal,benim favori çalma listemdeki [song_name : son şarkıyı] çal
187,tr-TR,train,train,10,audio,14,audio_volume_up,sesi aç,sesi aç
190,tr-TR,train,train,8,iot,24,iot_wemo_on,prizi aç,[device_type : prizi] aç
191,tr-TR,train,train,8,iot,24,iot_wemo_on,fişi aç,[device_type : fişi] aç
192,tr-TR,train,train,8,iot,24,iot_wemo_on,prizimi aç,[device_type : prizimi] aç
193,tr-TR,train,train,9,general,25,general_joke,bana biraz fıkra anlat,bana biraz fıkra anlat
194,tr-TR,train,train,9,general,25,general_joke,hiç fıkra biliyor musun,hiç fıkra biliyor musun
195,tr-TR,train,train,5,datetime,0,datetime_query,saat kaç,saat kaç
196,tr-TR,train,train,5,datetime,0,datetime_query,bana saati söyle,bana saati söyle
198,tr-TR,train,train,14,takeaway,3,takeaway_query,dominos eve sipariş alıyor mu,[food_type : dominos] [order_type : eve sipariş] alıyor mu
199,tr-TR,train,train,14,takeaway,3,takeaway_query,benim favori pizza salonum paket servisi için uygun mu,benim favori [food_type : pizza] salonum [order_type : paket servisi] için uygun mu
200,tr-TR,train,train,14,takeaway,16,takeaway_order,ispanyol lokantasından paket isteyebilir miyim,[food_type : ispanyol] lokantasından [order_type : paket] isteyebilir miyim
202,tr-TR,train,train,16,alarm,52,alarm_remove,alarmı sil,alarmı sil
203,tr-TR,train,train,16,alarm,23,alarm_query,kurduğum alarmları göster,kurduğum alarmları göster
204,tr-TR,train,train,16,alarm,23,alarm_query,herhangi alarmım var mı,herhangi alarmım var mı
205,tr-TR,train,train,16,alarm,23,alarm_query,alarmları göster,alarmları göster
206,tr-TR,train,train,17,weather,13,weather_query,istanbul'da hava nasıl,[place_name : istanbul'da] hava nasıl
207,tr-TR,train,train,17,weather,13,weather_query,bana istanbul hava durumunu söyle,bana [place_name : istanbul] hava durumunu söyle
209,tr-TR,train,train,8,iot,1,iot_hue_lightchange,lütfen ışıkları okumaya uygun yap,lütfen ışıkları [color_type : okumaya uygun] yap
210,tr-TR,train,train,8,iot,1,iot_hue_lightchange,lütfen ışığı izlemeye uygun yap,lütfen ışığı [color_type : izlemeye uygun] yap
211,tr-TR,train,train,8,iot,18,iot_hue_lightup,odayı daha parlak yap,[house_place : odayı] daha parlak yap
212,tr-TR,train,train,8,iot,41,iot_hue_lighton,ışık başlasın,ışık başlasın
213,tr-TR,train,train,5,datetime,0,datetime_query,bugün günün tarihi ne,[date : bugün] günün tarihi ne
214,tr-TR,train,train,5,datetime,0,datetime_query,bugün günlerden ne,[date : bugün] günlerden ne
215,tr-TR,train,train,5,datetime,0,datetime_query,bana tarih ver,bana tarih ver
218,tr-TR,train,train,17,weather,13,weather_query,dışarıda yağmur yağıyor mu olly,dışarıda [weather_descriptor : yağmur yağıyor] mu olly
221,tr-TR,train,train,8,iot,1,iot_hue_lightchange,ışıkları yeşile çevir,ışıkları [color_type : yeşile] çevir
222,tr-TR,train,train,15,music,43,music_likeness,bu şarkıyı favori listeme ekle,bu şarkıyı favori listeme ekle
223,tr-TR,train,train,15,music,57,music_query,bu şarkı hangisi,bu şarkı hangisi
224,tr-TR,train,train,8,iot,40,iot_hue_lightoff,olly ışıkları kapat,olly ışıkları kapat
225,tr-TR,train,train,8,iot,40,iot_hue_lightoff,ışıklar kapansın,ışıklar kapansın
226,tr-TR,train,train,8,iot,34,iot_cleaning,lütfen yeri temizle,lütfen [house_place : yeri] temizle
227,tr-TR,train,train,8,iot,24,iot_wemo_on,pilav pişirme soketini aç,[device_type : pilav pişirme soketini] aç
228,tr-TR,train,train,8,iot,8,iot_wemo_off,pilav pişirme makinesinin fişi kapat,[device_type : pilav pişirme makinesinin fişi] kapat
231,tr-TR,train,train,14,takeaway,16,takeaway_order,çin seddi den suşi siparişi vermeme yardımcı olur musun,[business_name : çin seddi] den [food_type : suşi] siparişi vermeme yardımcı olur musun
233,tr-TR,train,train,16,alarm,48,alarm_set,öğleden sonra dörde alarm kur,[timeofday : öğleden sonra] [time : dörde] alarm kur
234,tr-TR,train,train,16,alarm,48,alarm_set,olly konsere gitmek için öğleden sonra üçte beni uyar,olly [event_name : konsere] gitmek için [time : öğleden sonra üçte] beni uyar
235,tr-TR,train,train,16,alarm,48,alarm_set,konsere gitmek için beni öğleden sonra saat üçte uyar,[event_name : konsere] gitmek için beni [time : öğleden sonra saat üçte] uyar
236,tr-TR,train,train,16,alarm,23,alarm_query,sabah uçuş için ayarlanmış bir alarmım var mı,[timeofday : sabah] [event_name : uçuş] için ayarlanmış bir alarmım var mı
238,tr-TR,train,train,16,alarm,23,alarm_query,herhangi bir alarm var mı,herhangi bir alarm var mı
239,tr-TR,train,train,17,weather,13,weather_query,muğla'da yağmur yağıyor mu,[place_name : muğla'da] [weather_descriptor : yağmur yağıyor] mu
240,tr-TR,train,train,17,weather,13,weather_query,bugün yağmur var mı,[date : bugün] [weather_descriptor : yağmur] var mı
241,tr-TR,train,train,17,weather,13,weather_query,dışarıda neler oluyor,dışarıda neler oluyor
243,tr-TR,train,train,4,news,22,news_query,dünya da neler oluyor,[place_name : dünya] da neler oluyor
244,tr-TR,train,train,4,news,22,news_query,cambridge'de neler oluyor,[place_name : cambridge'de] neler oluyor
245,tr-TR,train,train,4,news,22,news_query,bana b.b.c.'den birkaç haber göster,bana [media_type : b.b.c.'den] birkaç haber göster
246,tr-TR,train,train,4,news,22,news_query,olly bana b. b. c. den birkaç haber göster,olly bana [media_type : b. b. c.] den birkaç haber göster
247,tr-TR,train,train,4,news,22,news_query,c. n. n. haberleri aç,[media_type : c. n. n.] haberleri aç
248,tr-TR,train,train,4,news,22,news_query,olly teknoloji haberleri,olly [media_type : teknoloji haberleri]
249,tr-TR,train,train,3,play,45,play_music,bana biraz hip hop çal,bana biraz [music_genre : hip hop] çal
252,tr-TR,train,train,3,play,45,play_music,şimdi death metal,şimdi death [music_genre : metal]
255,tr-TR,train,train,15,music,57,music_query,olly ben genellikle işten sonra hangi müziği severim,olly ben genellikle işten sonra hangi müziği severim
257,tr-TR,train,train,3,play,45,play_music,olly benim en favori piyanistimden müzik çal,olly benim en favori [music_genre : piyanistimden] müzik çal
259,tr-TR,train,train,10,audio,35,audio_volume_down,çok gürültülüsün,çok gürültülüsün
260,tr-TR,train,train,10,audio,14,audio_volume_up,seni zar zor duyabiliyorum olly,seni zar zor duyabiliyorum olly
262,tr-TR,train,train,8,iot,1,iot_hue_lightchange,ışıkları maviye çevir,ışıkları [color_type : maviye] çevir
264,tr-TR,train,train,8,iot,1,iot_hue_lightchange,ışıkları parlak mavi yap,ışıkları [color_type : parlak mavi] yap
265,tr-TR,train,train,8,iot,40,iot_hue_lightoff,olly iyi geceler lambaları kapat,olly iyi geceler lambaları kapat
267,tr-TR,train,train,8,iot,41,iot_hue_lighton,burası çok karanlık,burası çok karanlık
268,tr-TR,train,train,8,iot,18,iot_hue_lightup,ışıkları daha aydınlık yap,ışıkları daha aydınlık yap
269,tr-TR,train,train,8,iot,41,iot_hue_lighton,olly çok karanlık elimi bile göremiyorum,olly çok karanlık elimi bile göremiyorum
270,tr-TR,train,train,5,datetime,0,datetime_query,saat kaç,saat kaç
273,tr-TR,train,train,15,music,57,music_query,şarkı ne,şarkı ne
274,tr-TR,train,train,15,music,57,music_query,olly şarkı ne,olly şarkı ne
275,tr-TR,train,train,15,music,57,music_query,yaz gülü şarkısında şarkı ismiyle şarkıcı ne demek istedi,[song_name : yaz gülü] şarkısında şarkı ismiyle şarkıcı ne demek istedi
276,tr-TR,train,train,15,music,57,music_query,son bir gece daha şarkısını kim düzenledi,[song_name : son bir gece daha] şarkısını kim düzenledi
277,tr-TR,train,train,17,weather,13,weather_query,paris'te hava nasıl,[place_name : paris'te] hava nasıl
278,tr-TR,train,train,17,weather,13,weather_query,toronto'da hava nasıl,[place_name : toronto'da] hava nasıl
280,tr-TR,train,train,4,news,22,news_query,brexit görüşmeleri için son durum nedir,[news_topic : brexit görüşmeleri] için son durum nedir
