Metin,Normal Metin,Niyet,Kaynak,Bölüm
merak ettim sahibin kim lütfen,merak ettim sahibin kim lutfen,BOT_YARATICI,KitapPusula-Final-özel,eğitim
bu kitap hakkında konuyu daha geniş açıkla lütfen,bu kitap hakkinda konuyu daha genis acikla lutfen,DETAY_SORUSU,KitapPusula-V6,eğitim
Dokuzuncu Hariciye Koğuşu,dokuzuncu hariciye kogusu,KITAP_ARAMA,KitapPusula-V6,eğitim
lütfen bir espri patlat lütfen,lutfen bir espri patlat lutfen,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
bana beni güldür,bana beni guldur,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
burada bugünkü hava durumu ne,burada bugunku hava durumu ne,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
kitap modeli için performans metrikleri ne ayrıntılı anlat,kitap modeli icin performans metrikleri ne ayrintili anlat,MODEL_BILGISI,KitapPusula-V6,eğitim
sistemde ne kadar kitap biliyorsun,sistemde ne kadar kitap biliyorsun,KITAP_SAYISI,KitapPusula-V6,eğitim
o zaman ben çıkıyorum,o zaman ben cikiyorum,VEDA,KitapPusula-Final-özel,eğitim
sen veri setinde olmayan kitabı bulabilir mi,sen veri setinde olmayan kitabi bulabilir mi,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
KitapPusula ile bilinmeyen kitabın türünü belirle lütfen,kitappusula ile bilinmeyen kitabin turunu belirle lutfen,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
bu eserin kim tarafından yazıldı hatırlatır mısın,bu eserin kim tarafindan yazildi hatirlatir misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
acaba hangi ülkedesin lütfen,acaba hangi ulkedesin lutfen,BOT_KONUM,KitapPusula-Final-özel,eğitim
az önce seçtiğimiz kitabın adı ne hatırlatır mısın,az once sectigimiz kitabin adi ne hatirlatir misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
bir tane komik bir şey söyle,bir tane komik bir sey soyle,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
söyler misin yaşlı mısın şu anda,soyler misin yasli misin su anda,BOT_YAS,KitapPusula-Final-özel,eğitim
söyler misin karşımda kim var,soyler misin karsimda kim var,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
KitapPusula ile etiketsiz kitabın kategorisini bul lütfen,kitappusula ile etiketsiz kitabin kategorisini bul lutfen,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
yardım et anlatır mısın,yardim et anlatir misin,YARDIM,KitapPusula-V6,eğitim
bu kitapta hikâye nasıl bitiyor kısaca söyler misin,bu kitapta hik ye nasil bitiyor kisaca soyler misin,OLAY_SORUSU,KitapPusula-V6,eğitim
performans metrikleri ne söyler misin,performans metrikleri ne soyler misin,MODEL_BILGISI,KitapPusula-V6,eğitim
model nasıl çalışıyor ayrıntılı anlat,model nasil calisiyor ayrintili anlat,MODEL_BILGISI,KitapPusula-V6,eğitim
söyler misin karşımda kim var bana,soyler misin karsimda kim var bana,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
bugün bir şeyler paylaşmak istiyorum biraz,bugun bir seyler paylasmak istiyorum biraz,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
oyun kodu geliştir,oyun kodu gelistir,ALAN_DISI,KitapPusula-Final-özel,eğitim
ayrıntılı olarak hangi görevleri yaparsın lütfen,ayrintili olarak hangi gorevleri yaparsin lutfen,BOT_YETENEK,KitapPusula-Final-özel,eğitim
sence ana fikir nasıl yorumlanabilir yorumlar mısın,sence ana fikir nasil yorumlanabilir yorumlar misin,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
merak ettim bana nasıl yardım edersin lütfen,merak ettim bana nasil yardim edersin lutfen,BOT_YETENEK,KitapPusula-Final-özel,eğitim
romanda hikâye nasıl bitiyor anlatır mısın,romanda hik ye nasil bitiyor anlatir misin,OLAY_SORUSU,KitapPusula-V6,eğitim
ben çıkıyorum sonra,ben cikiyorum sonra,VEDA,KitapPusula-Final-özel,eğitim
kategori listesini ver söyler misin,kategori listesini ver soyler misin,KATEGORI_LISTESI,KitapPusula-V6,eğitim
bu kitap uzun bir kitap mı söyler misin,bu kitap uzun bir kitap mi soyler misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
söyler misin yaratıcın kim lütfen,soyler misin yaraticin kim lutfen,BOT_YARATICI,KitapPusula-Final-özel,eğitim
ayrıntılı olarak neler yapabiliyorsun lütfen,ayrintili olarak neler yapabiliyorsun lutfen,BOT_YETENEK,KitapPusula-Final-özel,eğitim
sence sonun anlamı ne olabilir kısaca değerlendir,sence sonun anlami ne olabilir kisaca degerlendir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
Kayıp Sembol,kayip sembol,KITAP_ARAMA,KitapPusula-V6,eğitim
bu eserin yazarı kim söyler misin,bu eserin yazari kim soyler misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
bu kitapta neden böyle davranıyor,bu kitapta neden boyle davraniyor,OLAY_SORUSU,KitapPusula-V6,eğitim
bu kitap hangi edebî sınıfa giriyor hatırlatır mısın,bu kitap hangi edeb sinifa giriyor hatirlatir misin,TUR_SORUSU,KitapPusula-V6,eğitim
KitapPusula tüm kitaplar sende var mı gerçekten,kitappusula tum kitaplar sende var mi gercekten,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
bu kitapta kahramanın adı ne hatırlatır mısın,bu kitapta kahramanin adi ne hatirlatir misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
söyler misin neler yapabiliyorsun,soyler misin neler yapabiliyorsun,BOT_YETENEK,KitapPusula-Final-özel,eğitim
bugün günün öne çıkan haberleri hangileri,bugun gunun one cikan haberleri hangileri,HABER_SORUSU,KitapPusula-Final-özel,eğitim
lütfen uçak bileti bul istiyorum,lutfen ucak bileti bul istiyorum,ALAN_DISI,KitapPusula-Final-özel,eğitim
kodlarını kim yazdı lütfen,kodlarini kim yazdi lutfen,BOT_YARATICI,KitapPusula-Final-özel,eğitim
bu kitap hangi kategoride söyler misin,bu kitap hangi kategoride soyler misin,TUR_SORUSU,KitapPusula-V6,eğitim
bugün bugün dünyada neler oldu,bugun bugun dunyada neler oldu,HABER_SORUSU,KitapPusula-Final-özel,eğitim
söyler misin sen nesin,soyler misin sen nesin,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
bazen konuşacak çok şey var,bazen konusacak cok sey var,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
Doğu Ekspresinde Cinayet,dogu ekspresinde cinayet,KITAP_ARAMA,KitapPusula-V6,eğitim
merak ettim karşımda kim var bana,merak ettim karsimda kim var bana,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
şemsiye olmadan dışarı çıkabilir miyim,semsiye olmadan disari cikabilir miyim,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
şu an seninle konuşmak güzel aslında,su an seninle konusmak guzel aslinda,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
tamam görüşürüz,tamam gorusuruz,VEDA,KitapPusula-Final-özel,eğitim
bu kitap türü ne,bu kitap turu ne,TUR_SORUSU,KitapPusula-V6,eğitim
bu kitap hangi tür söyler misin,bu kitap hangi tur soyler misin,TUR_SORUSU,KitapPusula-V6,eğitim
bu kitap ana konusu nedir lütfen,bu kitap ana konusu nedir lutfen,OZET_SORUSU,KitapPusula-V6,eğitim
bana saatin kaç olduğunu göster,bana saatin kac oldugunu goster,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
acaba yaşlı mısın,acaba yasli misin,BOT_YAS,KitapPusula-Final-özel,eğitim
sence kitap kimlere uygun,sence kitap kimlere uygun,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
İnsan Neyle Yaşar,insan neyle yasar,KITAP_ARAMA,KitapPusula-V6,eğitim
ne yapabiliyorsun lütfen,ne yapabiliyorsun lutfen,YARDIM,KitapPusula-V6,eğitim
az önce hangi eser açık söyler misin,az once hangi eser acik soyler misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
